month,month_start_date,year,quarter,month_num,is_year_end_season,is_tax_season
2024-01,2024-01-01,2024,Q1,1,0,0
2024-02,2024-02-01,2024,Q1,2,0,0
2024-03,2024-03-01,2024,Q1,3,0,1
2024-04,2024-04-01,2024,Q2,4,0,1
2024-05,2024-05-01,2024,Q2,5,0,0
2024-06,2024-06-01,2024,Q2,6,0,0
2024-07,2024-07-01,2024,Q3,7,0,0
2024-08,2024-08-01,2024,Q3,8,0,0
2024-09,2024-09-01,2024,Q3,9,0,0
2024-10,2024-10-01,2024,Q4,10,0,0
2024-11,2024-11-01,2024,Q4,11,1,0
2024-12,2024-12-01,2024,Q4,12,1,0
2025-01,2025-01-01,2025,Q1,1,0,0
2025-02,2025-02-01,2025,Q1,2,0,0
2025-03,2025-03-01,2025,Q1,3,0,1
2025-04,2025-04-01,2025,Q2,4,0,1
2025-05,2025-05-01,2025,Q2,5,0,0
2025-06,2025-06-01,2025,Q2,6,0,0
2025-07,2025-07-01,2025,Q3,7,0,0
2025-08,2025-08-01,2025,Q3,8,0,0
2025-09,2025-09-01,2025,Q3,9,0,0
2025-10,2025-10-01,2025,Q4,10,0,0
2025-11,2025-11-01,2025,Q4,11,1,0
2025-12,2025-12-01,2025,Q4,12,1,0
